Date,Price,Open,High,Low,Volume,Chg%
9-Oct-22,"50,720","51,413","51,425","50,548",7.65K,-1.93%
2-Oct-22,"51,716","50,120","51,872","50,088",33.49K,3.37%
25-Sep-22,"50,029","49,200","50,200","48,888",42.50K,1.31%
18-Sep-22,"49,382","49,390","50,140","49,125",64.43K,-0.14%
11-Sep-22,"49,451","50,553","50,844","49,008",82.24K,-2.26%
4-Sep-22,"50,592","50,900","50,900","50,068",42.54K,0.55%
28-Aug-22,"50,313","51,092","51,317","49,990",8.95K,-1.81%
21-Aug-22,"51,242","51,451","51,816","51,060",39.48K,-0.53%
14-Aug-22,"51,517","52,225","52,455","51,453",33.45K,-1.79%
7-Aug-22,"52,456","51,902","52,485","51,734",40.20K,1.58%
31-Jul-22,"51,641","51,899","51,965","51,023",1.72K,0.54%
24-Jul-22,"51,365","50,735","51,467","50,475",37.80K,1.27%
17-Jul-22,"50,720","50,210","50,912","49,770",55.89K,1.01%
10-Jul-22,"50,212","50,790","50,980","50,051",61.77K,-1.22%
3-Jul-22,"50,832","52,597","52,766","50,411",40.75K,-2.67%
26-Jun-22,"52,227","50,753","53,675","50,590",18.37K,3.19%
19-Jun-22,"50,614","50,847","51,098","50,442",48.36K,-0.41%
12-Jun-22,"50,824","51,457","51,633","50,200",71.96K,-1.59%
5-Jun-22,"51,645","51,087","51,725","50,460",56.04K,0.70%
29-May-22,"51,287","51,097","52,030","50,317",3.53K,0.64%
22-May-22,"50,961","50,854","51,239","50,615",47.71K,0.23%
15-May-22,"50,842","50,095","50,886","49,660",64.72K,1.80%
8-May-22,"49,944","51,395","51,416","49,747",67.72K,-2.80%
1-May-22,"51,381","51,201","52,300","50,575",15.40K,-0.83%
24-Apr-22,"51,809","52,125","52,125","51,000",43.78K,-0.84%
17-Apr-22,"52,250","52,950","53,478","52,101",69.48K,-1.03%
10-Apr-22,"52,793","51,999","52,925","51,840",48.25K,1.81%
3-Apr-22,"51,854","51,209","52,200","50,950",35.63K,1.15%
27-Mar-22,"51,264","51,602","51,788","50,340",38.09K,-0.82%
20-Mar-22,"51,687","51,390","51,924","50,980",67.69K,0.59%
13-Mar-22,"51,383","52,613","52,750","51,000",86.01K,-2.74%
6-Mar-22,"52,828","52,558","55,428","52,227",199.78K,1.06%
27-Feb-22,"52,274","50,680","52,448","50,246",3.07K,4.47%
20-Feb-22,"50,039","50,100","52,635","49,713",69.06K,0.01%
13-Feb-22,"50,034","49,180","50,381","49,152",64.76K,2.06%
6-Feb-22,"49,024","47,950","49,048","47,925",45.46K,1.96%
30-Jan-22,"48,081","47,652","48,900","47,500",3.48K,0.90%
23-Jan-22,"47,652","48,270","48,888","47,517",38.12K,-1.23%
16-Jan-22,"48,243","47,814","48,538","47,790",47.23K,0.92%
9-Jan-22,"47,803","47,400","47,989","47,333",52.72K,0.68%
2-Jan-22,"47,481","47,940","48,100","47,300",31.10K,-1.07%
26-Dec-21,"47,994","47,996","48,159","47,402",31.17K,0.03%
19-Dec-21,"47,982","48,402","48,499","47,825",39.20K,-1.00%
12-Dec-21,"48,467","48,002","48,638","47,760",58.60K,0.99%
5-Dec-21,"47,993","47,800","48,125","47,594",53.52K,1.20%
28-Nov-21,"47,425","47,800","48,119","47,150",3.53K,-0.39%
21-Nov-21,"47,610","48,782","48,900","47,268",74.65K,-2.50%
14-Nov-21,"48,829","49,170","49,579","48,705",76.95K,-0.91%
7-Nov-21,"49,277","48,000","49,349","47,821",89.03K,2.75%
31-Oct-21,"47,959","47,649","47,990","46,839",19.62K,0.96%
24-Oct-21,"47,502","47,770","48,140","47,350",39.72K,-0.35%
17-Oct-21,"47,668","47,200","48,050","47,077",75.32K,1.19%
10-Oct-21,"47,106","46,910","47,954","46,750",74.10K,0.39%
3-Oct-21,"46,922","46,299","47,225","46,209",46.09K,1.31%
26-Sep-21,"46,315","46,135","46,377","45,488",40.03K,0.70%
19-Sep-21,"45,995","46,020","46,798","45,805",73.73K,-0.07%
12-Sep-21,"46,025","46,930","47,325","45,876",86.55K,-1.78%
5-Sep-21,"46,858","47,534","47,534","46,770",55.51K,-1.02%
29-Aug-21,"47,342","47,276","47,599","46,800",3.28K,-0.16%
22-Aug-21,"47,416","47,170","47,634","46,777",55.79K,0.65%
15-Aug-21,"47,110","46,900","47,455","46,761",54.97K,0.48%
8-Aug-21,"46,886","46,600","46,925","45,708",79.35K,0.44%
1-Aug-21,"46,682","48,094","48,300","46,621",23.51K,-2.54%
25-Jul-21,"47,901","47,615","48,254","47,364",51.05K,0.80%
18-Jul-21,"47,521","48,132","48,247","47,320",74.91K,-1.08%
11-Jul-21,"48,040","47,750","48,460","47,503",87.74K,0.30%
4-Jul-21,"47,898","47,800","48,704","47,075",77.78K,1.29%
27-Jun-21,"47,286","46,400","47,999","46,202",21.86K,1.13%
20-Jun-21,"46,757","46,800","47,123","46,482",74.55K,0.35%
13-Jun-21,"46,592","48,680","48,680","46,526",96.85K,-4.36%
6-Jun-21,"48,717","48,767","49,145","48,502",74.02K,0.14%
30-May-21,"48,650","48,664","49,309","48,200",4.17K,0.22%
23-May-21,"48,543","48,544","49,100","48,237",89.66K,0.36%
16-May-21,"48,368","47,855","48,830","47,855",119.61K,1.44%
9-May-21,"47,682","47,849","48,083","47,251",106.61K,-0.08%
2-May-21,"47,719","46,849","47,990","46,500",60.68K,2.77%
25-Apr-21,"46,431","47,280","47,280","46,138",56.88K,-1.56%
18-Apr-21,"47,169","47,025","48,035","46,712",114.74K,0.31%
11-Apr-21,"47,022","46,333","47,097","46,125",96.05K,1.46%
4-Apr-21,"46,344","44,918","46,674","44,805",83.02K,3.09%
28-Mar-21,"44,957","44,474","45,002","43,621",13.56K,0.73%
21-Mar-21,"44,629","44,922","45,025","44,437",101.73K,-0.84%
14-Mar-21,"45,008","44,860","45,300","44,625",111.03K,0.61%
7-Mar-21,"44,737","44,720","45,135","44,163",129.74K,0.66%
28-Feb-21,"44,442","46,187","46,188","44,188",5.60K,-2.47%
21-Feb-21,"45,569","46,297","46,890","45,475",132.12K,-1.14%
14-Feb-21,"46,095","47,200","47,325","45,805",147.15K,-2.28%
7-Feb-21,"47,169","47,147","48,136","47,012",139.72K,0.41%
31-Jan-21,"46,978","49,298","49,438","46,501",3.89K,-4.34%
24-Jan-21,"49,111","49,137","49,490","48,554",106.03K,-0.04%
17-Jan-21,"49,131","48,701","49,743","48,588",131.11K,0.79%
10-Jan-21,"48,745","48,835","49,620","48,578",144.68K,-0.59%
3-Jan-21,"49,035","50,715","51,857","48,855",134.32K,-2.09%
27-Dec-20,"50,081","49,900","50,318","49,599",42.97K,0.59%
20-Dec-20,"49,787","50,199","50,716","49,465",108.94K,-0.62%
13-Dec-20,"50,100","49,255","50,425","48,659",149.09K,1.61%
6-Dec-20,"49,306","49,376","50,122","48,867",144.33K,-0.03%
29-Nov-20,"49,322","47,889","49,606","47,526",3.54K,2.35%
